Frequency (Hz),Amplitude
0.0,0.018098958333333335
0.25,0.01846880519752211
0.5,0.018849577627586916
0.75,0.02028437922725289
1.0,0.021344128874162167
1.25,0.024881641884838785
1.5,0.025661007800463428
1.75,0.0312218856077542
2.0,0.03588877046012174
2.25,0.03909707154103095
2.5,0.04655768713941049
2.75,0.05180700455350224
3.0,0.05391295761265853
3.25,0.056833406885396016
3.5,0.058868827199481395
3.75,0.06007510576268341
4.0,0.06110499062782787
4.25,0.06152405888268741
4.5,0.06053577469076714
4.75,0.06062642683343128
5.0,0.05875783402954234
5.25,0.05854442228554206
5.5,0.05500892170867097
5.75,0.053674473500098845
6.0,0.05111127507373177
6.25,0.05194559749199005
6.5,0.04997371599111538
6.75,0.04749053613165169
7.0,0.04390382604649683
7.25,0.04252986975030188
7.5,0.045740640664372924
7.75,0.03763243657774702
8.0,0.044584204322164284
8.25,0.03928051874574248
8.5,0.04526711365460873
8.75,0.05581287673309017
9.0,0.0598147214804926
9.25,0.06626964128727983
9.5,0.07365632323231604
9.75,0.07467638970202384
10.0,0.07404300852623168
10.25,0.07076765590544427
10.5,0.06949931502076313
10.75,0.06456914550534938
11.0,0.05972516144771066
11.25,0.06136435026354368
11.5,0.06099371089884348
11.75,0.06314921880799501
12.0,0.06915035049028236
12.25,0.07758466214945987
12.5,0.0807996228131033
12.75,0.09060087312768164
13.0,0.09246602387811673
13.25,0.09290677170601284
13.5,0.09628046404025666
13.75,0.09670534798649982
14.0,0.0959881957596267
14.25,0.09487887338022409
14.5,0.09290324820137617
14.75,0.08617524648461194
15.0,0.08550960683806919
15.25,0.08251013101616325
15.5,0.08202528099372518
15.75,0.08061631039018523
16.0,0.08108557850395383
16.25,0.08107774112420729
16.5,0.08296809699733514
16.75,0.08526690035534708
17.0,0.08345669569019513
17.25,0.0822589655186309
17.5,0.0830540511722604
17.75,0.07801840568993053
18.0,0.07707460033691535
18.25,0.07429472495597471
18.5,0.06801363728324607
18.75,0.06891895586908538
19.0,0.06822688809382153
19.25,0.0631010673060874
19.5,0.05926730049559759
19.75,0.05903129560483175
20.0,0.055695287336695654
20.25,0.05216077936731256
20.5,0.05583451132181534
20.75,0.052075667739628996
21.0,0.04848337038809981
21.25,0.04465852177646265
21.5,0.04067106893725546
21.75,0.031521027955463146
22.0,0.027138892213719085
22.25,0.0191764927930255
22.5,0.01342897134154413
22.75,0.011822785685860484
23.0,0.00902215622927599
23.25,0.018531245766151932
23.5,0.015619159800798194
23.75,0.028997995345038517
24.0,0.03275091699054179
24.25,0.0350035141067073
24.5,0.039674168856932285
24.75,0.04084491236612456
25.0,0.04113206737868911
25.25,0.04133859999655789
25.5,0.04198447318860064
25.75,0.03921127426835198
26.0,0.036834738533617864
26.25,0.03621762461498369
26.5,0.033030991757928216
26.75,0.03076691893700217
27.0,0.030233201963984054
27.25,0.02963933824363195
27.5,0.03327291511828548
27.75,0.034941981067369565
28.0,0.035420224730029364
28.25,0.03609692606627142
28.5,0.039290032181800875
28.75,0.040159410492757376
29.0,0.04155490001368715
29.25,0.04339147308691694
29.5,0.04183381747712503
29.75,0.04003975919607847
30.0,0.039064844533828094
30.25,0.034129348490290014
30.5,0.027478784299758967
30.75,0.023850695124152027
31.0,0.024875908412399565
31.25,0.019885346431461996
31.5,0.021103815712105175
31.75,0.017765820091900454
32.0,0.013760043174131254
32.25,0.014984146823825628
32.5,0.018156864619664113
32.75,0.018367765024442526
33.0,0.020986315056887053
33.25,0.0240867729334439
33.5,0.02548191425070776
33.75,0.02617000114252553
34.0,0.03098385587303519
34.25,0.03377204037083145
34.5,0.03646160834993297
34.75,0.04356037448057086
35.0,0.046354942203002104
35.25,0.05214790753346177
35.5,0.056097188913586955
35.75,0.06088262664938605
36.0,0.059677293362401754
36.25,0.06301623871372697
36.5,0.06297646464416638
36.75,0.06083332342620028
37.0,0.05897279136648587
37.25,0.06003730238183678
37.5,0.053011819834235495
37.75,0.04903750613544222
38.0,0.043272934798263094
38.25,0.03558047079625064
38.5,0.02804287232411365
38.75,0.022456291971948518
39.0,0.008888006922395608
39.25,0.007458704725043485
39.5,0.0032443283402949336
39.75,0.012831010286895138
40.0,0.01824007329505963
40.25,0.022383304922280464
40.5,0.03209484681968534
40.75,0.033330856551626556
41.0,0.039571770670600276
41.25,0.042802628918072315
41.5,0.044898008324503746
41.75,0.04922222080982926
42.0,0.056582673387650155
42.25,0.05794427616551105
42.5,0.06530085212023416
42.75,0.0728063570458787
43.0,0.07526718974365744
43.25,0.07728251612024419
43.5,0.07820875715961798
43.75,0.080248347569928
44.0,0.07478274191445025
44.25,0.07689204600859095
44.5,0.07412561482722747
44.75,0.0728584611553343
45.0,0.07205348586957576
45.25,0.07141694794410797
45.5,0.06615589587230404
45.75,0.06699392370176324
46.0,0.0640442848467544
46.25,0.06346927350227208
46.5,0.06358692520340678
46.75,0.06528491078962119
47.0,0.06284596137783731
47.25,0.06266085493137347
47.5,0.06342502716928361
47.75,0.06365067717996271
48.0,0.06317949739180333
48.25,0.0670489186296485
48.5,0.07161126584318572
48.75,0.07573307202627719
49.0,0.07870418538248776
49.25,0.08624877163657717
49.5,0.08855312874552537
49.75,0.09632624059086403
50.0,0.10570729016799521
50.25,0.110479061600608
50.5,0.11936344776747124
50.75,0.12226804350789794
51.0,0.12409391771404145
51.25,0.12716315889807306
51.5,0.12844501847698328
51.75,0.12912212720846614
52.0,0.13079948289196294
52.25,0.13416800020165498
52.5,0.13325195681788768
52.75,0.13957196280225403
53.0,0.14375370588931632
53.25,0.1490954182419744
53.5,0.15760300540213623
53.75,0.16333681825547275
54.0,0.16767164724676975
54.25,0.1746873514081291
54.5,0.18218164524538671
54.75,0.19263028782085065
55.0,0.19666892214403034
55.25,0.20563125911858265
55.5,0.21220376113478728
55.75,0.21468860057781394
56.0,0.22862833834469123
56.25,0.2334389563809846
56.5,0.2374240773476805
56.75,0.24542359802461344
57.0,0.2548927165533778
57.25,0.260456738706027
57.5,0.27022053953625924
57.75,0.2791129473749003
58.0,0.28545244534822445
58.25,0.29907255326585624
58.5,0.3086537691522949
58.75,0.31391676039137073
59.0,0.3268722820493854
59.25,0.33444049996744485
59.5,0.3414727715581143
59.75,0.35044581359372395
60.0,0.3564921643744126
60.25,0.3577685966090421
60.5,0.3632888205430581
60.75,0.3615112154376043
61.0,0.3536054073614749
61.25,0.34454696876338875
61.5,0.3286879907765788
61.75,0.306866897358782
62.0,0.2865829441159241
62.25,0.26132903803468305
62.5,0.23492010708259606
62.75,0.21514911856201627
63.0,0.18865667989567173
63.25,0.16452396152900714
63.5,0.13836495601177798
63.75,0.11050062753388688
64.0,0.08696133394736907
64.25,0.06528666140647242
64.5,0.04403928176510947
64.75,0.02481397781493492
65.0,0.020137799131849144
65.25,0.027697004578497584
65.5,0.04060395306169366
65.75,0.05387038595141868
66.0,0.06716992029859849
66.25,0.08111926056807275
66.5,0.09112159128131762
66.75,0.10453612020155255
67.0,0.11894311093479354
67.25,0.1318804743899615
67.5,0.14828785606429823
67.75,0.16638699692170222
68.0,0.17871329273621864
68.25,0.19606839737038434
68.5,0.21091829065103382
68.75,0.2250720450274199
69.0,0.2389258631002383
69.25,0.2526099406333254
69.5,0.2568332351632294
69.75,0.2723327363399523
70.0,0.27530884075280754
70.25,0.2870701199638846
70.5,0.2852416060377672
70.75,0.2951350016026307
71.0,0.2922692079493494
71.25,0.2901070713446021
71.5,0.298210092793964
71.75,0.2989355076137117
72.0,0.3063674116259721
72.25,0.31740381896844877
72.5,0.3282412479916687
72.75,0.3467666363493496
73.0,0.3673560069153364
73.25,0.38891915174000646
73.5,0.41510211859622737
73.75,0.4436115371392652
74.0,0.4737636419620817
74.25,0.5007674990534862
74.5,0.5315065595215235
74.75,0.5531584991485448
75.0,0.5704466892733456
75.25,0.5855926045159036
75.5,0.5898919631285141
75.75,0.5896522059209509
76.0,0.5811301265788104
76.25,0.568016753420658
76.5,0.5431092494323474
76.75,0.5184040706765072
77.0,0.4894799903943579
77.25,0.459549098200154
77.5,0.4278174242373978
77.75,0.3947722856187894
78.0,0.364728509618721
78.25,0.33556484188048735
78.5,0.30739987208455893
78.75,0.2766330905148761
79.0,0.25107844305408683
79.25,0.22349608565861429
79.5,0.19170787885780224
79.75,0.1686520619611859
80.0,0.14208661623828667
80.25,0.12219642087793817
80.5,0.11366605860203814
80.75,0.1183189214404462
81.0,0.13849130032992632
81.25,0.1688289087831012
81.5,0.20135340518951073
81.75,0.2429643853327021
82.0,0.2846359004222516
82.25,0.32304926767151587
82.5,0.3666102217401452
82.75,0.4028438472807702
83.0,0.4388343913698796
83.25,0.4721004282938698
83.5,0.4987889005181123
83.75,0.5205497155164533
84.0,0.5369378021979689
84.25,0.5480167219162388
84.5,0.5484881262672403
84.75,0.5515426131651063
85.0,0.5481332617649958
85.25,0.5457718414597529
85.5,0.5416809915236822
85.75,0.5379256195956945
86.0,0.5411148884749919
86.25,0.5412932232925186
86.5,0.5499059602743649
86.75,0.5567343359218958
87.0,0.5713450198736912
87.25,0.5911312995842688
87.5,0.6110451853489268
87.75,0.6306792980654528
88.0,0.660670243186134
88.25,0.6848203844363928
88.5,0.7119142685445929
88.75,0.7439977088025693
89.0,0.7691282297050661
89.25,0.7912558174756436
89.5,0.808546555689695
89.75,0.8197587878081617
90.0,0.8258631493348662
90.25,0.8272266373100549
90.5,0.8176155445289744
90.75,0.8003378687015752
91.0,0.7838391123887817
91.25,0.757411950287256
91.5,0.7228530395298965
91.75,0.68458659660377
92.0,0.6361892502237689
92.25,0.5766341889274795
92.5,0.512040844863387
92.75,0.4325622225230475
93.0,0.34562966942318013
93.25,0.26123501046910685
93.5,0.19800816982870376
93.75,0.19088632503316721
94.0,0.24426360897053018
94.25,0.31981083938381044
94.5,0.388208553486665
94.75,0.44252743139100403
95.0,0.4838100346604712
95.25,0.5062034013441873
95.5,0.5148345354387474
95.75,0.5127489150737587
96.0,0.500953917469256
96.25,0.4749779531690729
96.5,0.4491211782491517
96.75,0.41354573775159226
97.0,0.3704940688382742
97.25,0.33159015440128714
97.5,0.2896308267141004
97.75,0.2465256079203401
98.0,0.2072859853216617
98.25,0.17924587190852814
98.5,0.15417757241718114
98.75,0.13725767432786634
99.0,0.12960475749708514
99.25,0.12474013307020948
99.5,0.11744121889256462
99.75,0.11934709822451785
100.0,0.12725624531635216
100.25,0.13880041982678526
100.5,0.16996467452429917
100.75,0.21139915082605648
101.0,0.2615565513820129
101.25,0.3245882338783354
101.5,0.3929861653983331
101.75,0.47252238309053096
102.0,0.5419887999793824
